질문,답변,분류
회사 합격에 에이블스쿨이 어떻게 도움이 되었나요?,에이블스쿨에서 경험한 여러 프로젝트를 통해 실무적인 경험을 쌓았던 것이 가장 큰 도움이 되었습니다. 대학에서 직접 프로젝트를 진행해 볼 기회가 많이 없었는데 에이블스쿨에서 여러 번의 미니프로젝트와 빅프로젝트를 통해 이론적으로만 학습했던 지식을 실제로 활용하면서 나만의 기술로 익힐 수 있었습니다. 프로젝트를 할 때마다 팀원들과 협업할 때 필요한 커뮤니케이션 능력을 기를 수 있었던 점이 회사 합격에 가장 큰 도움이 되었다고 생각합니다.,후기
에이블스쿨을 통해 진로 선택에 변화가 있었나요?,흥미가 있던 데이터 분석 분야로 진로 선택에 확신이 들었습니다. 에이블스쿨 교육과정을 통해 머신러닝과 딥러닝 알고리즘에 대해 더 자세히 학습할 수 있었고 여러 프로젝트에서 프론트엔드 백엔드 데이터 분석을 경험했던 것이 저에게 맞는 분야가 무엇인지를 확실하게 인지하는 계기가 되었습니다. 다양한 분야로 진로를 희망하는 동기들과 만나 얘기를 고민했던 시간도 많은 도움이 된 것 같습니다.,후기
에이블스쿨에서 기억에 남는 것이 있다면?,빅프로젝트에서 기획부터 개발 배포까지 여러 분야를 경험했던 것이 기억에 남습니다. 짧은 기간 안에 프로젝트를 완수하기 위해 조원들 반 에이블러들과 함께 평일과 주말 가리지 않고 협업하고 어려움이 있을 때 함께 문제를 해결하고 조언을 주고받았던 같은 조원들에게 감사한 마음입니다. 코딩마스터스 과정도 인상 깊었습니다. 취업을 위해 코딩테스트를 준비한 적이 없었지만 코딩마스터스를 통해 현재 나의 실력을 파악할 수 있었고 부족한 부분들을 보완할 수 있었습니다.,후기
에이블스쿨을 통해 얻은 것은 무엇인가요?,6개월이라는 시간 동안 데이터 분석 인공지능 웹과 인프라 등 다양한 개발 지식을 쌓을 수 있었던 것이 많은 도움이 되었습니다. 또한 배운 것들을 미니프로젝트와 빅프로젝트를 통해 직접 활용해 보고 조원들과 더 나은 솔루션을 공유하면서 성장할 수 있었습니다. 특히 빅프로젝트가 가장 인상 깊었습니다. 주제 선정부터 구현 배포까지 모든 것을 한다는 것이 처음에는 쉽지 않았지만 개발 방향 설정과 실질적인 계획 세우기 과정을 통해 조원들과 의견을 활발히 공유하고 매일 프로젝트의 진행 상황을 점검하면서 소통하는 법을 배울 수 있었습니다.,후기
에이블스쿨에서의 경험이 회사 생활에서도 어떻게 도움이 되고 있나요?,협업 경험이 회사 생활에 많은 도움이 되고 있습니다. 저는 학부 시절 소수의 팀원과 팀플레이 경험만 있었기 때문에 6명 이상의 팀원과 짧게는 2~3일 길게는 약 5주의 프로젝트를 진행하는 것이 낯설기도 했습니다. 하지만 각자 자신의 역량을 최대로 발휘할 수 있는 역할을 맡아 계획에 맞게 프로젝트를 완성해 나가는 과정에서 소통 및 협업에 익숙해질 수 있게 되었고 프로젝트 설계 과정부터 실질적인 개발 및 관련 산출물 제작까지 일련의 과정을 쭉 수행한 경험을 바탕으로 실무에 배치되고 난 후 업무 및 주요 산출물에 대해 빠르게 이해할 수 있게 되었습니다.,후기
에이블스쿨을 하기 전의 나와 지금의 나를 돌이켜본다면?,교육하기 전의 저는 취업이라는 높은 장벽 앞에서 무엇을 해야 할지 막막했고 이 벽을 내가 넘을 수 있을까 하며 마냥 겁먹고 있었습니다. 하지만 에이블스쿨을 통해 부족한 부분을 채우고 교육 및 프로젝트를 통해 매일 작더라도 조금씩 정한 목표를 달성하며 대장장이처럼 저 자신을 꾸준히 제련했습니다. 그 덕분에 취업에 성공하였고 또 새로운 목표를 세워 그 길을 천천히 걸어 나가고 있습니다. 에이블스쿨이라는 경험이 없었다면 취업뿐만 아니라 회사에서의 첫 커리어를 쌓아나가는 지금의 과정 또한 용기 있게 해나갈 수 없었을 것 같습니다. 에이블스쿨 기간동안 도전을 통한 경험과 배움을 많이 가져가셨으면 좋겠습니다.,후기
교육 수료 후 잡페어를 진행하나요?,네 모든 교육이 끝난뒤 에이블러들의 취업을 지원하기위한 잡페어가 개최됩니다.,취업
교육 후기를 알려줘,에이블스쿨의 종합적인 커리큘럼이 역량을 향상시키는 데 큰 도움이 되었습니다. 교육과정에서 AI에 대한 이론적인 지식뿐만 아니라 실전에서 활용할 수 있는 다양한 기술과 도구에 대한 학습이 이루어졌습니다. 학습 후에 이루어지는 미니 프로젝트를 통해 실제 개발 경험을 쌓을 수 있었습니다. 인공지능 수업 외에 한 달가량 배웠던 웹 수업을 통해 인공지능 개발만이 아니라 전반적인 서비스 배포에 대한 이해도를 향상시킬 수 있었던 것도 좋았습니다. ,후기
에이블스쿨의 장점을 알려줘,체계적인 커리큘럼을 통해 AI관련 지식을 습득하면서 일대일 문의를 통해서 수업 내용에서 궁금한 게 생기면 전문 튜터가 응답해주는 시스템도 갖춰져 있습니다. 튜터님이 챙겨주시지 못하는 부분인 주요 공지사항 공모전 등의 정보를 알려주는 매니저님이 도움을 주셔서 좋았습니다. 프로젝트를 진행하면서 다양한 수강생들을 만날 수 있었고 수강생들과 외부 공모전을 준비하거나 스터디를 진행하면서 부족한 부분을 많이 채워 나갈 수 있었습니다. ,후기
교육 전 미리 준비해야 하는게 있나요?,취업에 필요한 준비를 끝내고 교육에 집중할 수 있는 상태를 만들어두는 것이 좋다고 생각합니다. 특히 영어 성적이 미리 준비되어 있었다면 더 좋았을 것 같습니다. 인공지능을 공부하는 과정에서 영어가 자주 등장하는데 그 용어를 빠르게 이해하고 사용할 수 있다면 교육 효과가 더욱 클 것이라 생각합니다.,후기
교육 전 미리 준비하면 좋은게 있나요?,육 기간 동안 수업 외적인 부분으로 어떤 것들을 공부할지 미리 정해두면 좋을 것 같습니다. 교육 기간 동안 수업이 끝난 저녁 이후의 시간이나 주말에 예습과 복습 외에도 취업이나 자기 계발과 관련된 계획을 미리 세워두고 준비하는 것이 좋을 것 같아요!,후기
교육 커리큘럼은 어땠나요?,에이블스쿨에서는 인공지능 이론 실습뿐 만 아니라 인공지능을 실제로 서비스하는 프로젝트까지 해볼 수 있어 정말 많이 배웠습니다. 필수적인 이론을 공부한 뒤 여러 프로젝트를 통해 실무 경험을 해볼 수 있어서 좋습니다. 그 과정에서 팀원들과 소통하며 더 나은 방법을 찾아내고 다른 팀은 어떻게 했는지 발표를 들으며 더욱 발전할 수 있습니다. 매번 프로젝트를 할 때마다 너무 어렵고 힘들었지만 지난 프로젝트를 복습하니 신기하게도 쉽게 느껴졌습니다. 나의 발전이 직접 와닿은 날이었습니다.,후기
비대면으로 교육이 진행되나요?,이론 수업은 비대면으로 진행되고 프로젝트와 같은 활동은 대면으로 진행됩니다.,후기
에이블스쿨에는 몇 번의 프로젝트가 있나요?,에이블스쿨은 AI DX 트랙 상관없이 7번의 미니프로젝트와 한 번의 빅프로젝트를 진행하게 됩니다.,후기
에이블스쿨 잡페어에는 어떤 기업들이 참여하나요?,4기 수료생들은 KT를 비롯해 BC카드 케이뱅크 KT DS 나스미디어 KT 스튜디오지니 등 KT 그룹 내 주요 기업과 티맥스그룹 산하 4개 기업 등 총 20개사가 참여해 에이블스쿨이 양성한 우수한 디지털 인재를 대상으로 채용 설명회를 진행되었습니다.,후기
에이블스쿨 잡페어는 어떤 건가요?,KT 그룹 내 현직 전문가들도 에이블스쿨 과정에 참여해 프로젝트 포트폴리오 작성 컨설팅 모의 면접 등 교육생들이 취업에 실질적인 도움을 받을 수 있도록 다각도로 지원한다.,후기
에이블스쿨 잡페어는 몇 개의 도장을 받아야 사은품을 주나요?,5개를 모으면 선착순으로 사은품을 줍니다.,후기
에이블스쿨 빅프로젝트는 어떤건가요?,에이블스쿨 빅프로젝트는 7번의 미니프로젝트를 진행함으로써 쌓은 실력을 각자의 조에서 주제를 정해서 진행되는 프로젝트입니다. 발표는 메타버스에서 진행됩니다.,후기
인적성 검사는 어떻게 준비하면 되나요?,KT그룹의 종합인적성검사를 추천드립니다. 온라인으로 시험 치기 때문에 e-book으로 구매하시거나 대여해서 공부하는 것을 추천합니다.,지원
교육 전에 무엇을 준비하면 좋을까요?,합격 후 2~3주 가량 동안 사전 강의 영상과 사전 학습 자료를 제공해줍니다. 파이팅!,교육
노트북이 없는데 괜찮나요?,KT에이블스쿨을 합격하면 노트북을 제공하여 줍니다. 파이팅!,교육

